Standort;LSA-Nr.;Baulastträger;Bezirk;X;Y
Luxemburger Straße / Hardtstraße;3511;Stadt Köln;Lindenthal;23.542.007,5;56.423.359,7
Luxemburger Straße / Klettenberggürtel / Sülzgürtel;3513;Stadt Köln;Lindenthal;23.540.530,7;56.421.221,4
Luxemburger Straße / Konradstraße / Rennebergstraße;3506;Stadt Köln;Lindenthal;23.546.318,9;56.429.451,3
Luxemburger Straße / Lotharstraße / Leybergstraße;3508;Stadt Köln;Lindenthal;23.544.874,6;56.427.398,7
Luxemburger Straße / Militärringstraße;3521;HGK;Lindenthal;23.534.328,0;56.412.397,8
Luxemburger Straße / Nassestraße;3516;Stadt Köln;Lindenthal;23.538.692,3;56.418.584,4
Luxemburger Straße / Neuenhöfer Allee / Schule;3515;Stadt Köln;Lindenthal;23.539.151,1;56.419.286,2
Luxemburger Straße / Ölbergstraße;3514;Stadt Köln;Lindenthal;23.539.745,1;56.420.112,6
Luxemburger Straße / Scherfginstraße;3518;Stadt Köln;Lindenthal;23.535.687,2;56.414.323,8
Luxemburger Straße / Sülzburgstraße / Gottesweg ;3510;Stadt Köln;Lindenthal;23.543.165,8;56.424.996,7
Luxemburger Straße / Universitätsstraße / Weißhausstraße;3505;Stadt Köln;Lindenthal;23.547.116,1;56.430.599,6
Luxemburger Straße / Wittekindstraße;3509;Stadt Köln;Lindenthal;23.544.014,6;56.426.182,9
Maarweg / Stolberger Straße;3100;Stadt Köln;Lindenthal;23.523.739,2;56.454.655,7
Melatengürtel / Scheidtweilerstraße;3821;Stadt Köln;Lindenthal;23.531.038,5;56.450.366,1
Militärringstraße / Aachener Straße Nord;3105;Stadt Köln;Lindenthal;23.512.798,2;56.452.348,2
Militärringstraße / Aachener Straße Süd;3106;Stadt Köln;Lindenthal;23.512.888,8;56.449.387,5
Militärringstraße / Berrenrather Straße;0311;StrNRW;Lindenthal;23.532.144,4;56.415.048,3
Militärringstraße / Friedrich-Schmidt-Straße;0313;StrNRW;Lindenthal;23.514.777,1;56.446.240,7
Militärringstraße / Gleueler Straße;0312;StrNRW;Lindenthal;23.520.789,6;56.424.486,0
Militärringstraße / Unterer Komarweg;0310;StrNRW;Lindenthal;23.538.183,6;56.407.306,8
Militärringstraße / Widdersdorfer Straße;0345;StrNRW;Lindenthal;23.508.973,4;56.460.546,1
Ostlandstraße / An der Alten Post;3123;Stadt Köln;Lindenthal;23.477.418,4;56.449.071,7
Ostlandstraße / Breslauer Straße / Diepenbeekallee;3121;Stadt Köln;Lindenthal;23.484.649,1;56.448.651,4
Ostlandstraße / Göttinger Straße / Stettiner Weg;3122;Stadt Köln;Lindenthal;23.482.236,0;56.448.859,7
Stadtwaldgürtel / Clarenbachstraße;3819;Stadt Köln;Lindenthal;23.530.298,7;56.447.923,6
Stadtwaldgürtel / Dürener Straße;3815;Stadt Köln;Lindenthal;23.530.406,9;56.438.754,3
Stadtwaldgürtel / Friedrich-Schmidt-Straße;3818;Stadt Köln;Lindenthal;23.530.025,3;56.446.123,6
Stadtwaldgürtel / Rautenstrauchstraße;3817;Stadt Köln;Lindenthal;23.529.876,8;56.444.442,5
Stadtwaldgürtel / Wüllnerstraße;3816;Stadt Köln;Lindenthal;23.529.887,1;56.442.579,9
Stolberger Straße / Linnicher Straße / Kindergarten;3102;Stadt Köln;Lindenthal;23.514.216,6;56.456.172,0
Sülzgürtel / Berrenrather Straße;3803;Stadt Köln;Lindenthal;23.538.525,4;56.423.411,3
Sülzgürtel / Curtiusstraße;3807;Stadt Köln;Lindenthal;23.535.141,9;56.428.988,4
Sülzgürtel / Euskirchener Straße;3806;Stadt Köln;Lindenthal;23.535.530,7;56.427.697,8
Sülzgürtel / Lindenthalgürtel / Zülpicher Straße;3808;Stadt Köln;Lindenthal;23.534.698,1;56.430.353,4
Sülzgürtel / Mommsenstraße / Hollerather Straße;3805;Stadt Köln;Lindenthal;23.535.874,0;56.426.543,1
Sülzgürtel / Münstereifeler Straße;3804;Stadt Köln;Lindenthal;23.536.764,0;56.425.472,2
Sülzgürtel / Wichterichstraße / Nonnewerthstraße;3802;Stadt Köln;Lindenthal;23.539.549,3;56.422.260,9
Universitätsstraße / Bachemer Straße / Innerer Gürtel;3192;Stadt Köln;Lindenthal;23.542.953,0;56.441.975,2
Universitätsstraße / Berrenrather Straße;3196;Stadt Köln;Lindenthal;23.546.025,0;56.433.221,7
Universitätsstraße / Dürener Straße;3191;Stadt Köln;Lindenthal;23.541.798,0;56.444.871,0
Universitätsstraße / Kerpener Straße;3195;Stadt Köln;Lindenthal;23.545.089,4;56.436.024,5
Universitätsstraße / Zülpicher Straße;3194;Stadt Köln;Lindenthal;23.545.274,9;56.435.443,6
Vitalisstraße / Stolberger Straße / Wendelinstraße;3103;Stadt Köln;Lindenthal;23.512.181,4;56.456.321,9
Vogelsanger Weg / Blumenallee / Eifelallee;3120;Stadt Köln;Lindenthal;23.491.635,5;56.448.447,2
Weißhausstraße / Rhöndorfer Straße / Rudolf-Amelunxen-Straße;3197;Stadt Köln;Lindenthal;23.550.148,3;56.428.144,8
Widdersdorfer Straße / Girlitzweg;3126;Stadt Köln;Lindenthal;23.512.626,0;56.461.342,8
Widdersdorfer Straße / Handelshof;3127;Stadt Köln;Lindenthal;23.512.075,6;56.461.248,4
Widdersdorfer Straße / Josef-Lammerting-Allee / Vitalisstraße;3125;Stadt Köln;Lindenthal;23.516.459,2;56.460.650,7
Widdersdorfer Straße / Vitalisstraße;3107;Stadt Köln;Lindenthal;23.514.990,0;56.460.965,7
Zülpicher Straße / Freiligrathstraße / Krieler Dom;3174;Stadt Köln;Lindenthal;23.528.128,7;56.429.365,8
Zülpicher Straße / Joseph-Stelzmann-Straße / Gustavstraße;3171;Stadt Köln;Lindenthal;23.539.271,8;56.432.339,7
Zülpicher Straße / Meister-Ekkehart-Straße;3169;Stadt Köln;Lindenthal;23.546.471,1;56.436.732,8
Zülpicher Straße / Mommsenstraße / Hermeskeiler Straße;3173;Stadt Köln;Lindenthal;23.531.611,8;56.429.753,4
Zülpicher Straße / Sülzburgstraße;3172;Stadt Köln;Lindenthal;23.537.125,6;56.431.236,2
Zülpicher Straße / Weyertal;3170;Stadt Köln;Lindenthal;23.543.081,4;56.434.236,0
Alte Wipperfürther Straße / Schule;9964;Stadt Köln;Mülheim;23.606.900,2;56.468.022,8
Bergisch Gladbacher Straße / Ackerstraße;9904;Stadt Köln;Mülheim;23.608.715,0;56.477.112,5
Bergisch Gladbacher Straße / BAB3 Ost;9909;Stadt Köln;Mülheim;23.618.722,0;56.480.036,2
