Sto.-nr.;erl.Geschw. PKW;erl. Geschw. LKW;Standort1;Standort2;Standort3;
6136;30;30;6136 Merheim                  ;Hohensyburgstraße ggüb. 104   ;in Fahrtrichtung Olpener Straße    ;   
6137;30;30;6137 Merheim                  ;Hohensyburgstraße ggüb. 104   ;in Fahrtrichtung Bevingsweg        ;   
6138;30;30;6138 Weiß                     ;Weißer Hauptstraße 111        ;in Fahrtrichtung Heinrichstrasse   ;   
6139;30;30;6139 Weiß                     ;Weißer Hauptstraße 111        ;in Fahrtrichtung Weißer Straße     ;   
6140;30;30;6140 Marienburg               ;Am Südpark 49                 ;in Fahrtr. Schillingsrotter Straße ;   
6141;30;30;6141 Marienburg               ;Am Südpark 49                 ;in Fahrtrichtung Rondorfer Straße  ;   
6142;30;30;6142 Marienburg               ;Pferdmenger Straße 42         ;in Fahrtrichtung Leyboldstraße     ;   
6143;30;30;6143 Marienburg               ;Pferdmenger Straße 42         ;in Fahrtrichtung Marienburger Str. ;   
6144;30;30;6144 Volkhoven Weiler         ;Toni-Welter Straße 4 - Kita   ;in Fahrtrichtung Pescher-Holz Weg  ;   
6145;30;30;6145 Volkhoven Weiler         ;Toni-Welter Straße 4 - Kita   ;in Fahrtrichtung Heimersdorf       ;   
6146;50;50;6146 Zollstock                ;Höninger Weg 351-353          ;in Fahrtrichtung Höninger Platz    ;   
6147;50;50;6147 Zollstock                ;Höninger Weg 351-353          ;in Fahrtrichtung Zollstock Gürtel  ;   
6148;30;30;6148 Bickendorf               ;Subbelrather Straße 546       ;in Fahrtrichtung Sandweg           ;   
6149;30;30;6149 Bickendorf               ;Subbelrather Straße 546       ;in Fahrtrichtung Äußere Kanalstraße;   
6150;30;30;6150 Merkenich                ;Merkenicher Hauptstraße 221   ;in Fahrtr. Merkenicher Ringstraße  ;   
6151;30;30;6151 Merkenich                ;Merkenicher Hauptstraße 221   ;in Fahrtr. Schlettstadter Straße   ;   
6152;30;30;6152 Ehrenfeld                ;Vogelsanger Straße 28-32      ;in Fahrtrichtung Innere Kanalstraße;   
6153;30;30;6153 Ehrenfeld                ;Vogelsanger Straße 28-32      ;in Fahrtrichtung Piusstraße        ;   
6154;30;30;6154 Niehl                    ;Niehler Kirchweg 186          ;in Fahrtrichtung Niehler Straße    ;   
6155;30;30;6155 Niehl                    ;Niehler Kirchweg 186          ;in Fahrtr. Friedrich-Karl-Straße   ;   
6156;30;30;6156 Pesch                    ;Pestalozzistraße gegenüber 4  ;in Fahrtrichtung Mengenicher Straße;   
6157;30;30;6157 Pesch                    ;Pestalozzistraße gegenüber 4  ;in Fahrtrichtung Fröbelstraße      ;   
6158;30;30;6158 Holweide                 ;Schnellweider Straße 79       ;in Fahrtrichtung Neufelder Straße  ;   
6159;30;30;6159 Holweide                 ;Schnellweider Straße 79       ;in Fahrtr. Maria-Himmelfahrt-Straße;   
6160;30;30;6160 Worringen                ;Altestraße gegenüber 1c       ;in Fahrtrichtung St.-Tönnis-Straße ;   
6161;30;30;6161 Worringen                ;Altestraße gegenüber 1c       ;in Fahrtrichtung Hackhauser Weg    ;   
6162;30;30;6162 Sürth                    ;Bahnhofstraße 26-28           ;in Fahrtrichtung Sürther Hauptstr. ;   
6163;30;30;6163 Sürth                    ;Bahnhofstraße 26-28           ;in Fahrtr. Heinrich-Erpenbachstraße;   
6164;30;30;6164 Rodenkirchen             ;Nibelungenweg 37              ;in Fahrtr. Schillingsrotter Straße ;   
6165;30;30;6165 Rodenkirchen             ;Nibelungenweg 37              ;in Fahrtrichtung Sürther Straße    ;   
6166;30;30;6166 Sülz                     ;Mommsenstraße 5-11            ;in Fahrtrichtung Sülzgürtel        ;   
6167;30;30;6167 Sülz                     ;Mommsenstraße 5-11            ;in Fahrtrichtung Zülpicher Straße  ;   
6168;30;30;6168 Mauenheim                ;Neue Kempener Straße 236      ;in Fahrtrichtung Bergstraße        ;   
6169;30;30;6169 Mauenheim                ;Neue Kempener Straße 236      ;in Fahrtrichtung Nibelungenstraße  ;   
6170;30;30;6170 Mauenheim                ;Neue Kempener Straße 294      ;in Fahrtrichtung Schmiedegasse     ;   
6171;30;30;6171 Mauenheim                ;Neue Kempener Straße 294      ;in Fahrtrichtung Nibelungenstraße  ;   
6172;30;30;6172 Braunsfeld               ;Wiethasestraße 9              ;in Fahrtrichtung Fürst-Pückler-Str.;   
6173;30;30;6173 Mauenheim                ;Nibelungenstraße 62           ;in Fahrtrichtung Neue Kempener Str.;   
6174;30;30;6174 Mauenheim                ;Nibelungenstraße 62           ;in Fahrtrichtung Merheimer Straße  ;   
6175;30;30;6175 Wahn                     ;Am Krausbaum Höhe Friedhof    ;in Fahrtrichtung Frankfurter Str.  ;   
6176;30;30;6176 Wahn                     ;Am Krausbaum Höhe Friedhof    ;in Fahrtrichtung Lind              ;   
6177;30;30;6177 Lindenthal               ;An der Decksteiner Mühle 3-7  ;in Fahrtrichtung Max-Scheler-Str.  ;   
6178;30;30;6178 Lindenthal               ;An der Decksteiner Mühle 3-7  ;in Fahrtrichtung Gleuler Straße    ;   
6179;30;30;6179 Pesch                    ;Johannesstraße Höhe 33        ;in Fahrtrichtung Militärringstraße ;   
6180;30;30;6180 Pesch                    ;Johannesstraße Höhe 33        ;in Fahrtrichtung Mengenicherstraße ;   
6181;30;30;6181 Zollstock                ;Bernkasteler Straße ggü.60    ;in Fahrtrichtung Graacher Straße   ;   
6182;30;30;6182 Zollstock                ;Bernkasteler Straße ggü.60    ;in Fahrtrichtung Brauneberger Str. ;   
